업종,상호,지번주소
체력단련장업,AII For U GYM,서울특별시 성동구 금호동4가 800 대우(아)상가 201호 
체력단련장업,(주)옥수 투엑스 휘트니스,서울특별시 성동구 옥수동 474 
체력단련장업,데일리피트니스 PT 성수점,서울특별시 성동구 성수동2가 339-5 뚝섬쇼핑센타
체력단련장업,스타트 짐,서울특별시 성동구 성수동2가 561-1 국민은행 
체력단련장업,짐아서 휘트니스,서울특별시 성동구 성수동1가 22-5 경동빌딩 
체력단련장업,라온 휘트니스,서울특별시 성동구 마장동 791-1 
체력단련장업,해빗피트니스 성수점,서울특별시 성동구 성수동2가 315-69 홍일빌딩 
체력단련장업,범핏,서울특별시 성동구 용답동 69-4
체력단련장업,시티짐 답십리점,서울특별시 성동구 용답동 62-2 인암빌딩
체력단련장업,포시즌 휘트니스,서울특별시 성동구 행당동 168-1 6층 
체력단련장업,풍림휘트니스,서울특별시 성동구 하왕십리동 1061 왕십리풍림아이원 
체력단련장업,시티짐 금호역점,서울특별시 성동구 금호동3가 1331 두산아파트 상가동 4층 
체력단련장업,노블휘트니스,서울특별시 성동구 성수동1가 706 쌍용아파트 
체력단련장업,고릴라 멀티짐,서울특별시 성동구 행당동 347 행당동 대림아파트 
체력단련장업,왕십리역점 스포애니 (주)케이디헬스케어,서울특별시 성동구 도선동 58-1
체력단련장업,센트리얼 휘트니스 옥수점,서울특별시 성동구 옥수동 560 옥수 어울림 
체력단련장업,파크짐,서울특별시 성동구 행당동 287-15 왕십리역이스타빌 
체력단련장업,스타트짐,서울특별시 성동구 행당동 286-18 
체력단련장업,파크짐,서울특별시 성동구 행당동 376 
체력단련장업,퀸스테이지,서울특별시 성동구 성수동2가 289-20 
체력단련장업,해빗 피트니스,서울특별시 성동구 하왕십리동 866-2 삼협빌딩 
체력단련장업,주식회사 엘투휘트니스,서울특별시 성동구 상왕십리동 811 텐즈힐 
체력단련장업,에코 휘트니스,서울특별시 성동구 성수동2가 314-5 광명타워 지하2호호
체력단련장업,건강과땀 휘트니스센타,서울특별시 성동구 행당동 17 
체력단련장업,인피니티 퍼스널 트레이닝,서울특별시 성동구 금호동1가 481-5 
체력단련장업,피네테스,서울특별시 성동구 옥수동 244-11 4층 
체력단련장업,허니바디 스포츠,서울특별시 성동구 성수동1가 13-436 
체력단련장업,BAN(반),서울특별시 성동구 금호동1가 633 
체력단련장업,레이 휘트니스,서울특별시 성동구 행당동 128-22 
체력단련장업,이루어짐 헬스,서울특별시 성동구 성수동2가 289-257번지 
체력단련장업,오아시스GYM,서울특별시 성동구 금호동3가 421 3층 
체력단련장업,피트니스 에이치(Fitness. H),서울특별시 성동구 송정동 92-25 경한빌딩 
체력단련장업,센트라스 투엑스 주식회사,서울특별시 성동구 하왕십리동 700 
